campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Ann Arbor,professor,"School of Music,Theatre&Dance",216929.45,9-Month,1,216929.45
Ann Arbor,professor,Int Med-Cardiology,225000,12-Month,1,1939.5
Ann Arbor,leo lecturer iii,Nutritional Sciences,92953.64,12-Month,1,46476.82
Ann Arbor,research professor,Ophthalmology & Visual Science,167135,12-Month,1,8356.75
Ann Arbor,leo intermittent lecturer,SOE- Teacher Education,52530,8-Month,0.58,30125.12
Ann Arbor,leo intermittent lecturer,Law School,60000,8-Month,0.2,11865.2
Ann Arbor,assoc professor,LSA American Culture,107543,9-Month,1,0
Ann Arbor,clinical lecturer,Family Medicine,76754,12-Month,1,0
Ann Arbor,clinical lecturer,DENT Prosthodontics,72000,12-Month,1,72000
Ann Arbor,professor,Biostatistics Department,212550,9-Month,0.25,16398.23
Ann Arbor,asst professor,LSA Classical Studies,76620,9-Month,0.5,38310
Ann Arbor,professor,Psychiatry Department,220000,12-Month,1,94030.2
Ann Arbor,assoc professor,Emergency Medicine UM Adult,225000,12-Month,0.5,8757
Ann Arbor,asst professor,LSA Linguistics,84950,9-Month,1,84950
Ann Arbor,assoc professor,LSA Linguistics,116480,9-Month,1,116480
Ann Arbor,assoc professor,Coll of Arch & Urban Planning,93085,9-Month,1,93085
Ann Arbor,leo lecturer i,Coll of Arch & Urban Planning,52530,8-Month,0.5,25969.92
Ann Arbor,assoc professor,LSA Psychology,104469.89,9-Month,1,104469.89
Ann Arbor,professor,School of Information,175021.34,9-Month,0.5,87511
Ann Arbor,professor,EECS - CSE Division,174254,9-Month,0.5,81899.38
Ann Arbor,professor,LSA Physics,158775,9-Month,1,158775
Ann Arbor,leo lecturer ii,Law School,146023.22,8-Month,1,144382.48
Ann Arbor,professor,Psychiatry Department,220000,12-Month,0.2,2200
Ann Arbor,asst professor,Int Med-Gastroenterology,225000,12-Month,0.51,0
Ann Arbor,leo intermittent lecturer,EECS - CSE Division,66666.66,8-Month,0.4,26684.48
Ann Arbor,assoc professor,Coll of Arch & Urban Planning,97904,9-Month,1,97904
Ann Arbor,professor,LSA Economics,203000,9-Month,1,131950
Ann Arbor,assoc professor,School of Information,156572,9-Month,1,146786.25
Ann Arbor,assoc professor,Epidemiology Department,125325,9-Month,1,63915.75
Ann Arbor,professor,Chemical Engineering Dept,165900,9-Month,0.9,91579.29
Ann Arbor,asst professor,Coll of Arch & Urban Planning,80000,9-Month,1,80000
Ann Arbor,asst professor,Mechanical Engineering,101000,9-Month,1,101000
Ann Arbor,clinical lecturer,Family Medicine,93500,12-Month,1,0
Ann Arbor,assoc professor,Ross School of Business,210000,9-Month,1,174993
Ann Arbor,research asst professor,Pharmacology Department,75750,12-Month,1,0
Ann Arbor,leo intermittent lecturer,Program in the Environment,77308,8-Month,0.56,42806.08
Ann Arbor,clinical lecturer,Int Med-Pulm./Critical Care,110028.71,12-Month,0.12,644.84
Ann Arbor,asst professor,Obstetrics and Gynecology Dept,175000,12-Month,1,0
Ann Arbor,professor,Civil & Environmental Engr,179212,9-Month,1,179212
