campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Dearborn,LEO Lecturer I,Dbn Col of Eng-Computer & Info,41820,8-Month,0.66,27873.04
Dearborn,ASST PROFESSOR,"Dbn-Literature,Philosophy&Arts",61260,8-Month,1,61260
Dearborn,ASST PROFESSOR,Dbn Col of Eng-Computer & Info,98357,8-Month,1,98357
Dearborn,ASST PROFESSOR,Dbn CASL-Biological Sciences,67843,8-Month,1,67843
Dearborn,ASSOC PROFESSOR,Dbn CASL-Math & Statistics,80800,8-Month,1,80800
Dearborn,PROFESSOR,Dbn Col of Bus-Mgmt Studies,161670,8-Month,0.5,80835
Dearborn,ASSOC PROFESSOR,"Dbn-Literature,Philosophy&Arts",76636,8-Month,1,76636
Dearborn,ASSOC PROFESSOR,Dbn CASL-Social Sciences,80177,8-Month,1,80177
Dearborn,PROFESSOR,Dbn Col of Eng-Computer & Info,112422,8-Month,1,112422
Dearborn,LEO Lecturer IV,Dbn CASL-Physical Sciences,63531.84,8-Month,1,63531.84
Dearborn,LEO Lecturer I,Dbn CASL-Biological Sciences,41820,8-Month,0.56,23419.2
Dearborn,LEO Lecturer I,Dbn Col of Eng-Computer & Info,41820,8-Month,0.2,8364
Dearborn,ASST PROFESSOR,Dbn CASL-Biological Sciences,71759,8-Month,1,71759
Dearborn,ASST PROFESSOR,Dbn Col of Bus-Mgmt Studies,115000,8-Month,1,115000
Dearborn,PROFESSOR,Dbn CASL-Social Sciences,109266,8-Month,1,109266
Dearborn,ASSOC PROFESSOR,Dbn CASL-Social Sciences,91030,8-Month,1,91030
Dearborn,LEO Lecturer II,Dbn CASL-Biological Sciences,45642,8-Month,1,45642
Dearborn,LEO Lecturer II,Dbn CASL-Math & Statistics,45583.8,8-Month,0.83,37982.7
Dearborn,PROFESSOR,Dbn Coll of Eng-Mechanical Eng,141112,8-Month,1,141112
Dearborn,PROFESSOR,Dbn CASL-Sociology & Anthropol,93252,8-Month,1,93252
Dearborn,LEO Lecturer II,Dbn CEHHS Education-OPERATIONS,46877.87,8-Month,0.97,45705.92
Dearborn,PROFESSOR,Dbn Col of Eng-Electric & Comp,119605,8-Month,1,119605
Dearborn,ASST PROFESSOR,Dbn Col of Eng-Indust & Sys En,99597,8-Month,1,99597
Dearborn,ASST PROFESSOR,Dbn Col of Eng-Computer & Info,96734,8-Month,1,96734
Dearborn,LEO Lecturer IV,Dbn Col of Bus-Acctg & Finance,101896.98,8-Month,1,101896.98
Dearborn,PROFESSOR,Dbn CASL-Physical Sciences,95058,8-Month,1,95058
Dearborn,ASSOC PROFESSOR,Dbn CASL-Sociology & Anthropol,82648,8-Month,1,82648
Dearborn,ASSOC PROFESSOR,Dbn Col of Eng-Indust & Sys En,112074,8-Month,0.8,89659.2
Dearborn,ASST PROFESSOR,Dbn CASL College-Wide Programs,72513,8-Month,1,72513
Dearborn,LEO Lecturer II,"Dbn-Literature,Philosophy&Arts",50727.4,8-Month,0.5,25363.7
Dearborn,LEO Lecturer II,Dbn CEHHS Education-OPERATIONS,49449.88,8-Month,1,49449.92
Dearborn,LEO Lecturer II,Dbn Col of Eng-Computer & Info,42248.45,8-Month,0.83,35203.52
