campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Flint,LEO Lecturer I,Flint Engineering,41820,8-Month,0.25,10337.52
Flint,ASSOC PROFESSOR,Flint Africana Studies Dept,73112.64,9-Month,0.67,48985.46
Flint,ASSOC PROFESSOR,Flint Political Science,73040.82,9-Month,0.33,24103.47
Flint,LEO Lecturer I,Flint Theatre and Dance,41000,8-Month,0.25,10134.8
Flint,ASST PROFESSOR,Flint School of Management,126844.81,9-Month,1,126844.81
Flint,LEO Intermittent Lecturer,Flint Physical Therapy,63240,8-Month,0.14,9066.8
Flint,LEO Lecturer IV,Flint English,63078.71,9-Month,1,63078.71
Flint,PROFESSOR,Flint Music,92251.77,9-Month,1,92251.77
Flint,PROFESSOR,Flint Mathematics,119091.52,9-Month,1,119091.52
Flint,ASSOC PROFESSOR,Flint Computer Science,91702.31,9-Month,1,91702.31
Flint,ASSOC PROFESSOR,Flint Computer Science,91907.96,9-Month,1,91907.96
Flint,ASSOC PROFESSOR,Flint Physical Therapy,107257.26,12-Month,1,104908.33
Flint,ASSOC PROFESSOR,Flint Physics,74802.34,9-Month,1,74802.34
Flint,ASSOC PROFESSOR,Flint Engineering,94511.27,9-Month,1,94511.27
Flint,ASSOC PROFESSOR,"Flint Soc,Anthropology & CJ",73043.4,9-Month,1,73043.4
Flint,LEO Lecturer I,Flint Psychology,41000,8-Month,0.25,10134.8
Flint,ASST PROFESSOR,Flint Dept Pub Hlth & Hlth Sci,74976.43,9-Month,1,74976.43
Flint,PROFESSOR,Flint Philosophy,100250.79,9-Month,1,100250.79
Flint,LEO Lecturer II,Flint Nursing,59034.88,8-Month,0.66,38904.72
Flint,LEO Lecturer II,Flint Nursing,49378.1,8-Month,0.7,34493.68
Flint,ASST PROFESSOR,Flint Nursing,81391.34,9-Month,1,81391.34
Flint,ASSOC PROFESSOR,Flint Philosophy,71792.31,9-Month,1,71792.31
Flint,ADJUNCT CLINICAL LECTURER,Flint Nursing,38739.4,8-Month,0.3,11491.2
Flint,LEO Lecturer II,Flint Social Work,44345.36,8-Month,0.25,10961.84
Flint,LEO Lecturer I,Flint Engineering,41820,8-Month,0.25,10337.52
